Journée,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Classement Home,Classement Away,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
24,Rennes,St Etienne,3,0,H,12,4,46,62,50,55,51,40,-1,15,68,74
24,Toulouse,Reims,1,1,D,15,9,38,49,32,35,50,41,-18,-6,35,40
25,Caen,Nantes,0,1,A,18,10,33,47,29,47,49,46,-20,1,34,60
25,St Etienne,Strasbourg,2,1,H,4,11,62,46,55,57,40,46,15,11,74,37
25,Lyon,Guingamp,2,1,H,3,20,66,26,63,25,45,64,18,-39,285,30
25,Nimes,Dijon,2,0,H,8,19,52,31,53,29,53,55,0,-26,20,35
25,Angers,Nice,3,0,H,13,7,45,53,43,28,43,32,0,-4,30,50
25,Marseille,Amiens,2,0,H,6,16,55,35,54,29,50,49,4,-20,150,36
25,Monaco,Nantes,1,0,H,17,10,33,47,36,47,55,46,-19,1,215,60
25,Bordeaux,Toulouse,2,1,H,14,15,38,38,33,32,41,50,-8,-18,70,35
25,Caen,Strasbourg,0,0,D,18,11,33,46,29,57,49,46,-20,11,34,37
25,Lille,Montpellier,0,0,D,2,5,72,58,62,52,30,40,32,12,90,41
25,Reims,Rennes,2,0,H,9,12,49,46,35,50,41,51,-6,-1,40,68
25,St Etienne,Paris SG,0,1,A,4,1,62,88,55,100,40,32,15,68,74,500
23,Bordeaux,Guingamp,0,0,D,14,20,38,26,33,25,41,64,-8,-39,70,30
17,Paris SG,Montpellier,5,1,H,1,5,88,58,100,52,32,40,68,12,500,41
26,Dijon,St Etienne,0,1,A,19,4,31,62,29,55,55,40,-26,15,35,74
26,Strasbourg,Lille,1,1,D,11,2,46,72,57,62,46,30,11,32,37,90
26,Amiens,Nice,1,0,H,16,7,35,53,29,28,49,32,-20,-4,36,50
26,Guingamp,Angers,1,0,H,20,13,26,45,25,43,64,43,-39,0,30,30
26,Paris SG,Nimes,3,0,H,1,8,88,52,100,53,32,53,68,0,500,20
26,Monaco,Lyon,2,0,H,17,3,33,66,36,63,55,45,-19,18,215,285
26,Montpellier,Reims,2,4,A,5,9,58,49,52,35,40,41,12,-6,41,40
26,Nantes,Bordeaux,1,0,H,10,14,47,38,47,33,46,41,1,-8,60,70
26,Rennes,Marseille,1,1,D,12,6,46,55,50,54,51,50,-1,4,68,150
26,Toulouse,Caen,1,1,D,15,18,38,33,32,29,50,49,-18,-20,35,34
27,Angers,Monaco,2,2,D,13,17,45,33,43,36,43,55,0,-19,30,215
27,Caen,Paris SG,1,2,A,18,1,33,88,29,100,49,32,-20,68,34,500
27,Reims,Amiens,2,2,D,9,16,49,35,35,29,41,49,-6,-20,40,36
27,Guingamp,Nantes,0,0,D,20,10,26,47,25,47,64,46,-39,1,30,60
27,Lille,Dijon,1,0,H,2,19,72,31,62,29,30,55,32,-26,90,35
27,Lyon,Toulouse,5,1,H,3,15,66,38,63,32,45,50,18,-18,285,35
27,Marseille,St Etienne,2,0,H,6,4,55,62,54,55,50,40,4,15,150,74
27,Nice,Strasbourg,1,0,H,7,11,53,46,28,57,32,46,-4,11,50,37
27,Bordeaux,Montpellier,1,2,A,14,5,38,58,33,52,41,40,-8,12,70,41
28,Amiens,Nimes,2,1,H,16,8,35,52,29,53,49,53,-20,0,36,20
28,Dijon,Reims,1,1,D,19,9,31,49,29,35,55,41,-26,-6,35,40
28,Monaco,Bordeaux,1,1,D,17,14,33,38,36,33,55,41,-19,-8,215,70
28,Strasbourg,Lyon,2,2,D,11,3,46,66,57,63,46,45,11,18,37,285
28,Marseille,Nice,1,0,H,6,7,55,53,54,28,50,32,4,-4,150,50
28,Montpellier,Angers,2,2,D,5,13,58,45,52,43,40,43,12,0,41,30
28,Rennes,Caen,3,1,H,12,18,46,33,50,29,51,49,-1,-20,68,34
28,St Etienne,Lille,0,1,A,4,2,62,72,55,62,40,30,15,32,74,90
28,Toulouse,Guingamp,1,0,H,15,20,38,26,32,25,50,64,-18,-39,35,30
18,Dijon,Paris SG,0,4,A,19,1,31,88,29,100,55,32,-26,68,35,500
29,Lille,Monaco,0,1,A,2,17,72,33,62,36,30,55,32,-19,90,215
29,Nice,Toulouse,1,1,D,7,15,53,38,28,32,32,50,-4,-18,50,35
29,Angers,Amiens,0,0,D,13,16,45,35,43,29,43,49,0,-20,30,36
29,Caen,St Etienne,0,5,A,18,4,33,62,29,55,49,40,-20,15,34,74
29,Guingamp,Dijon,1,0,H,20,19,26,31,25,29,64,55,-39,-26,30,35
29,Nimes,Strasbourg,2,2,D,8,11,52,46,53,57,53,46,0,11,20,37
29,Bordeaux,Rennes,1,1,D,14,12,38,46,33,50,41,51,-8,-1,70,68
29,Lyon,Montpellier,3,2,H,3,5,66,58,63,52,45,40,18,12,285,41
29,Paris SG,Marseille,3,1,H,1,6,88,55,100,54,32,50,68,4,500,150
29,Reims,Nantes,1,0,H,9,10,49,47,35,47,41,46,-6,1,40,60
30,Rennes,Lyon,0,1,A,12,3,46,66,50,63,51,45,-1,18,68,285
30,Marseille,Angers,2,2,D,6,13,55,45,54,43,50,43,4,0,150,30
30,Amiens,Bordeaux,0,0,D,16,14,35,38,29,33,49,41,-20,-8,36,70
30,Dijon,Nice,0,1,A,19,7,31,53,29,28,55,32,-26,-4,35,50
30,Monaco,Caen,0,1,A,17,18,33,33,36,29,55,49,-19,-20,215,34
30,Nantes,Lille,2,3,A,10,2,47,72,47,62,46,30,1,32,60,90
30,Toulouse,Paris SG,0,1,A,15,1,38,88,32,100,50,32,-18,68,35,500
30,St Etienne,Nimes,2,1,H,4,8,62,52,55,53,40,53,15,0,74,20
30,Montpellier,Guingamp,2,0,H,5,20,58,26,52,25,40,64,12,-39,41,30
30,Strasbourg,Reims,4,0,H,11,9,46,49,57,35,46,41,11,-6,37,40
31,Bordeaux,Marseille,2,0,H,14,6,38,55,33,54,41,50,-8,4,70,150
31,Amiens,St Etienne,2,2,D,16,4,35,62,29,55,49,40,-20,15,36,74
31,Angers,Rennes,3,3,D,13,12,45,46,43,50,43,51,0,-1,30,68
31,Guingamp,Monaco,1,1,D,20,17,26,33,25,36,64,55,-39,-19,30,215
31,Lyon,Dijon,1,3,A,3,19,66,31,63,29,45,55,18,-26,285,35
31,Nimes,Caen,2,0,H,8,18,52,33,53,29,53,49,0,-20,20,34
31,Nice,Montpellier,1,0,H,7,5,53,58,28,52,32,40,-4,12,50,41
31,Paris SG,Strasbourg,2,2,D,1,11,88,46,100,57,32,46,68,11,500,37
31,Reims,Lille,1,1,D,9,2,49,72,35,62,41,30,-6,32,40,90
31,Toulouse,Nantes,1,0,H,15,10,38,47,32,47,50,46,-18,1,35,60
27,Nimes,Rennes,3,1,H,8,12,52,46,53,50,53,51,0,-1,20,68
32,Dijon,Amiens,0,0,D,19,16,31,35,29,29,55,49,-26,-20,35,36
