Day,Classement Home,Classement Away,FTHG,FTAG,FTR,Points Home,Points Away,BP H,BP A,BC H,BC A,Diff H,Diff A,Budget H,Budget A
30,10,2,2,3,0,47,72,47,62,46,30,1,32,60,90
30,15,1,0,1,0,38,88,32,100,50,32,-18,68,35,500
30,4,8,2,1,1,62,52,55,53,40,53,15,0,74,20
30,5,20,2,0,1,58,26,52,25,40,64,12,-39,41,30
30,11,9,4,0,1,46,49,57,35,46,41,11,-6,37,40
31,14,6,2,0,1,38,55,33,54,41,50,-8,4,70,150
31,16,4,2,2,0,5,35,62,29,55,49,40,-20,15,36,74
31,13,12,3,3,0,5,45,46,43,50,43,51,0,-1,30,68
31,20,17,1,1,0,5,26,33,25,36,64,55,-39,-19,30,215
31,3,19,1,3,0,66,31,63,29,45,55,18,-26,285,35
31,8,18,2,0,1,52,33,53,29,53,49,0,-20,20,34
31,7,5,1,0,1,53,58,28,52,32,40,-4,12,50,41
31,1,11,2,2,0,5,88,46,100,57,32,46,68,11,500,37
31,9,2,1,1,0,5,49,72,35,62,41,30,-6,32,40,90
31,15,10,1,0,1,38,47,32,47,50,46,-18,1,35,60
27,8,12,3,1,1,52,46,53,50,53,51,0,-1,20,68
32,19,16,0,0,0,5,31,35,29,29,55,49,-26,-20,35,36
32,10,3,2,1,1,47,66,47,63,46,45,1,18,60,285
32,18,13,0,1,0,33,45,29,43,49,43,-20,0,34,30
32,6,8,2,1,1,55,52,54,53,50,53,4,0,150,20
32,17,9,0,0,0,5,33,49,36,35,55,41,-19,-6,215,40
32,11,20,3,3,0,5,46,26,57,25,46,64,11,-39,37,30
32,2,1,5,1,1,72,88,62,100,30,32,32,68,90,500
32,5,15,2,1,1,58,38,52,32,40,50,12,-18,41,35
32,12,7,0,0,0,5,46,53,50,28,51,32,-1,-4,68,50
32,4,14,3,0,1,62,38,55,33,40,41,15,-8,74,70
28,10,1,3,2,1,47,88,47,100,46,32,1,68,60,500
33,19,12,3,2,1,31,46,29,50,55,51,-26,-1,35,68
33,3,13,2,1,1,66,45,63,43,45,43,18,0,285,30
33,20,6,1,3,0,26,55,25,54,64,50,-39,4,30,150
33,7,18,0,1,0,53,33,28,29,32,49,-4,-20,50,34
33,8,14,2,1,1,52,38,53,33,53,41,0,-8,20,70
33,11,5,1,3,0,46,58,57,52,46,40,11,12,37,41
33,10,16,3,2,1,47,35,47,29,46,49,1,-20,60,36
33,1,17,3,1,1,88,33,100,36,32,55,68,-19,500,215
33,9,4,0,2,0,49,62,35,55,41,40,-6,15,40,74
33,15,2,0,0,0,5,38,72,32,62,50,30,-18,32,35,90
34,14,3,2,3,0,38,66,33,63,41,45,-8,18,70,285
34,16,11,0,0,0,5,35,46,29,57,49,46,-20,11,36,37
34,13,9,1,1,0,5,45,49,43,35,43,41,0,-6,30,40
34,18,19,1,0,1,33,31,29,29,49,55,-20,-26,34,35
34,2,8,5,0,1,72,52,62,53,30,53,32,0,90,20
34,6,10,1,2,0,55,47,54,47,50,46,4,1,150,60
34,7,20,3,0,1,53,26,28,25,32,64,-4,-39,50,30
34,4,15,2,0,1,62,38,55,32,40,50,15,-18,74,35
34,5,1,3,2,1,58,88,52,100,40,32,12,68,41,500
34,12,17,2,2,0,5,46,33,50,36,51,55,-1,-19,68,215
35,11,6,1,1,0,5,46,55,57,54,46,50,11,4,37,150
35,14,13,0,1,0,38,45,33,43,41,43,-8,0,70,30
35,20,18,0,0,0,5,26,33,25,29,64,49,-39,-20,30,34
35,1,7,1,1,0,5,88,53,100,28,32,32,68,-4,500,50
35,9,8,0,3,0,49,52,35,53,41,53,-6,0,40,20
35,3,2,2,2,0,5,66,72,63,62,45,30,18,32,285,90
35,17,4,2,3,0,33,62,36,55,55,40,-19,15,215,74
35,5,16,1,1,0,5,58,35,52,29,40,49,12,-20,41,36
35,10,19,3,0,1,47,31,47,29,46,55,1,-26,60,35
35,15,12,2,2,0,5,38,46,32,50,50,51,-18,-1,35,68
